match_id,date,season,batting_team,opponent,venue,over,ball,bowler,batter_runs,total_runs,is_wicket,dismissal_kind,arm,bowl_type
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",0,4,SN Thakur,6,6,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",0,5,SN Thakur,1,1,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",1,2,Avesh Khan,6,6,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",1,3,Avesh Khan,1,1,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",1,6,Avesh Khan,4,4,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",2,4,SN Thakur,0,0,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",2,5,SN Thakur,1,1,False,,right,pace
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",3,3,DS Rathi,0,0,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",3,4,DS Rathi,0,0,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",3,5,DS Rathi,1,1,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4,1,AK Markram,1,1,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",4,6,AK Markram,0,0,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,1,Ravi Bishnoi,0,0,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,2,Ravi Bishnoi,4,4,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,3,Ravi Bishnoi,1,1,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",6,6,Ravi Bishnoi,0,0,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",7,2,DS Rathi,1,1,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",7,6,DS Rathi,6,6,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",8,2,AK Markram,1,1,False,,right,spin
1473473,2025-04-19,2025,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",8,4,AK Markram,0,0,True,stumped,right,spin
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",0,4,B Kumar,0,0,False,,right,pace
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",0,5,B Kumar,1,1,False,,right,pace
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,1,Yash Dayal,0,0,False,,left,pace
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,2,Yash Dayal,0,1,False,,left,pace
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",1,3,Yash Dayal,1,1,False,,left,pace
1473479,2025-04-24,2025,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2,1,B Kumar,0,0,False,,right,pace
