bowler,arm,bowl_type
A Kamboj,right,pace
AK Markram,right,spin
Abhinandan Singh,right,pace
Akash Singh,left,pace
Arshdeep Singh,left,pace
Ashok Sharma,right,pace
Avesh Khan,right,pace
B Kumar,right,pace
C Green,right,pace
CV Varun,right,spin
DL Chahar,right,pace
DS Rathi,right,spin
E Malinga,right,pace
HH Pandya,right,pace
Harpreet Brar,left,spin
I Sharma,right,pace
JJ Bumrah,right,pace
JO Holder,right,pace
JR Hazlewood,right,pace
K Rabada,right,pace
KA Jamieson,right,pace
KH Pandya,left,spin
KK Ahmed,left,pace
Karim Janat,right,spin
Kartik Tyagi,right,pace
L Ngidi,right,pace
LH Ferguson,right,pace
M Jansen,left,pace
M Pathirana,right,pace
M Prasidh Krishna,right,pace
M Tiwari,right,pace
MA Starc,left,pace
MJ Henry,right,pace
MP Yadav,right,pace
Mohammed Siraj,right,pace
Mohsin Khan,left,pace
Mukesh Kumar,right,pace
Noor Ahmad,left,spin
PJ Cummins,right,pace
PP Hinge,right,pace
Prince Yadav,right,pace
R Ashwin,right,spin
RA Jadeja,left,spin
Rashid Khan,right,spin
Ravi Bishnoi,right,spin
SN Thakur,right,pace
SP Narine,left,spin
Sakib Hussain,right,pace
Shivang Kumar,left,spin
TA Boult,left,pace
TH David,right,spin
VG Arora,right,pace
WG Jacks,right,spin
Yash Dayal,left,pace
Washington Sundar,right,spin
T Vijay,right,spin
